NAICS_CODE,NAICS_DESCRIPTION,NAICS_SUBSECTOR_CODE,NAICS_SUBSECTOR_DESCRIPTION,NAICS_GROUP_CODE,NAICS_GROUP_DESCRIPTION
111110,Soybean Farming,111,Crop Production,11,"Agriculture, Forestry, Fishing and Hunting"
111120,Oilseed (except Soybean) Farming ,111,Crop Production,11,"Agriculture, Forestry, Fishing and Hunting"
111130,Dry Pea and Bean Farming ,111,Crop Production,11,"Agriculture, Forestry, Fishing and Hunting"
111140,Wheat Farming,111,Crop Production,11,"Agriculture, Forestry, Fishing and Hunting"
111150,Corn Farming ,111,Crop Production,11,"Agriculture, Forestry, Fishing and Hunting"
111160,Rice Farming,111,Crop Production,11,"Agriculture, Forestry, Fishing and Hunting"
111191,Oilseed and Grain Combination Farming ,111,Crop Production,11,"Agriculture, Forestry, Fishing and Hunting"
111199,All Other Grain Farming ,111,Crop Production,11,"Agriculture, Forestry, Fishing and Hunting"
111211,Potato Farming ,111,Crop Production,11,"Agriculture, Forestry, Fishing and Hunting"
111219,Other Vegetable (except Potato) and Melon Farming ,111,Crop Production,11,"Agriculture, Forestry, Fishing and Hunting"
111310,Orange Groves,111,Crop Production,11,"Agriculture, Forestry, Fishing and Hunting"
111320,Citrus (except Orange) Groves ,111,Crop Production,11,"Agriculture, Forestry, Fishing and Hunting"
111331,Apple Orchards ,111,Crop Production,11,"Agriculture, Forestry, Fishing and Hunting"
111332,Grape Vineyards ,111,Crop Production,11,"Agriculture, Forestry, Fishing and Hunting"
111333,Strawberry Farming ,111,Crop Production,11,"Agriculture, Forestry, Fishing and Hunting"
111334,Berry (except Strawberry) Farming ,111,Crop Production,11,"Agriculture, Forestry, Fishing and Hunting"
111335,Tree Nut Farming ,111,Crop Production,11,"Agriculture, Forestry, Fishing and Hunting"
111336,Fruit and Tree Nut Combination Farming ,111,Crop Production,11,"Agriculture, Forestry, Fishing and Hunting"
111339,Other Noncitrus Fruit Farming ,111,Crop Production,11,"Agriculture, Forestry, Fishing and Hunting"
111411,Mushroom Production ,111,Crop Production,11,"Agriculture, Forestry, Fishing and Hunting"
111419,Other Food Crops Grown Under Cover ,111,Crop Production,11,"Agriculture, Forestry, Fishing and Hunting"
111421,Nursery and Tree Production ,111,Crop Production,11,"Agriculture, Forestry, Fishing and Hunting"
111422,Floriculture Production ,111,Crop Production,11,"Agriculture, Forestry, Fishing and Hunting"
111910,Tobacco Farming,111,Crop Production,11,"Agriculture, Forestry, Fishing and Hunting"
111920,Cotton Farming,111,Crop Production,11,"Agriculture, Forestry, Fishing and Hunting"
111930,Sugarcane Farming,111,Crop Production,11,"Agriculture, Forestry, Fishing and Hunting"
111940,Hay Farming ,111,Crop Production,11,"Agriculture, Forestry, Fishing and Hunting"
111991,Sugar Beet Farming ,111,Crop Production,11,"Agriculture, Forestry, Fishing and Hunting"
111992,Peanut Farming ,111,Crop Production,11,"Agriculture, Forestry, Fishing and Hunting"
111998,All Other Miscellaneous Crop Farming ,111,Crop Production,11,"Agriculture, Forestry, Fishing and Hunting"
112111,Beef Cattle Ranching and Farming ,112,Animal Production and Aquaculture,11,"Agriculture, Forestry, Fishing and Hunting"
112112,Cattle Feedlots ,112,Animal Production and Aquaculture,11,"Agriculture, Forestry, Fishing and Hunting"
112120,Dairy Cattle and Milk Production,112,Animal Production and Aquaculture,11,"Agriculture, Forestry, Fishing and Hunting"
112130,Dual-Purpose Cattle Ranching and Farming ,112,Animal Production and Aquaculture,11,"Agriculture, Forestry, Fishing and Hunting"
112210,Hog and Pig Farming ,112,Animal Production and Aquaculture,11,"Agriculture, Forestry, Fishing and Hunting"
112310,Chicken Egg Production ,112,Animal Production and Aquaculture,11,"Agriculture, Forestry, Fishing and Hunting"
112320,Broilers and Other Meat Type Chicken Production ,112,Animal Production and Aquaculture,11,"Agriculture, Forestry, Fishing and Hunting"
112330,Turkey Production,112,Animal Production and Aquaculture,11,"Agriculture, Forestry, Fishing and Hunting"
112340,Poultry Hatcheries,112,Animal Production and Aquaculture,11,"Agriculture, Forestry, Fishing and Hunting"
112390,Other Poultry Production ,112,Animal Production and Aquaculture,11,"Agriculture, Forestry, Fishing and Hunting"
112410,Sheep Farming,112,Animal Production and Aquaculture,11,"Agriculture, Forestry, Fishing and Hunting"
112420,Goat Farming,112,Animal Production and Aquaculture,11,"Agriculture, Forestry, Fishing and Hunting"
112511,Finfish Farming and Fish Hatcheries ,112,Animal Production and Aquaculture,11,"Agriculture, Forestry, Fishing and Hunting"
112512,Shellfish Farming ,112,Animal Production and Aquaculture,11,"Agriculture, Forestry, Fishing and Hunting"
112519,Other Aquaculture ,112,Animal Production and Aquaculture,11,"Agriculture, Forestry, Fishing and Hunting"
112910,Apiculture,112,Animal Production and Aquaculture,11,"Agriculture, Forestry, Fishing and Hunting"
112920,Horses and Other Equine Production,112,Animal Production and Aquaculture,11,"Agriculture, Forestry, Fishing and Hunting"
112930,Fur-Bearing Animal and Rabbit Production,112,Animal Production and Aquaculture,11,"Agriculture, Forestry, Fishing and Hunting"
112990,All Other Animal Production ,112,Animal Production and Aquaculture,11,"Agriculture, Forestry, Fishing and Hunting"
113110,Timber Tract Operations,113,Forestry and Logging,11,"Agriculture, Forestry, Fishing and Hunting"
113210,Forest Nurseries and Gathering of Forest Products ,113,Forestry and Logging,11,"Agriculture, Forestry, Fishing and Hunting"
113310,Logging ,113,Forestry and Logging,11,"Agriculture, Forestry, Fishing and Hunting"
114111,Finfish Fishing ,114,"Fishing, Hunting and Trapping",11,"Agriculture, Forestry, Fishing and Hunting"
114112,Shellfish Fishing ,114,"Fishing, Hunting and Trapping",11,"Agriculture, Forestry, Fishing and Hunting"
114119,Other Marine Fishing ,114,"Fishing, Hunting and Trapping",11,"Agriculture, Forestry, Fishing and Hunting"
114210,Hunting and Trapping,114,"Fishing, Hunting and Trapping",11,"Agriculture, Forestry, Fishing and Hunting"
115111,Cotton Ginning ,115,Support Activities for Agriculture and Forestry,11,"Agriculture, Forestry, Fishing and Hunting"
115112,"Soil Preparation, Planting, and Cultivating ",115,Support Activities for Agriculture and Forestry,11,"Agriculture, Forestry, Fishing and Hunting"
115113,"Crop Harvesting, Primarily by Machine ",115,Support Activities for Agriculture and Forestry,11,"Agriculture, Forestry, Fishing and Hunting"
115114,Postharvest Crop Activities (except Cotton Ginning) ,115,Support Activities for Agriculture and Forestry,11,"Agriculture, Forestry, Fishing and Hunting"
115115,Farm Labor Contractors and Crew Leaders ,115,Support Activities for Agriculture and Forestry,11,"Agriculture, Forestry, Fishing and Hunting"
115116,Farm Management Services ,115,Support Activities for Agriculture and Forestry,11,"Agriculture, Forestry, Fishing and Hunting"
115210,Support Activities for Animal Production,115,Support Activities for Agriculture and Forestry,11,"Agriculture, Forestry, Fishing and Hunting"
115310,Support Activities for Forestry,115,Support Activities for Agriculture and Forestry,11,"Agriculture, Forestry, Fishing and Hunting"
211120,Crude Petroleum Extraction ,211,Oil and Gas Extraction,21,"Mining, Quarrying, and Oil and Gas Extraction"
211130,Natural Gas Extraction ,211,Oil and Gas Extraction,21,"Mining, Quarrying, and Oil and Gas Extraction"
212111,Bituminous Coal and Lignite Surface Mining ,212,Mining (except Oil and Gas),21,"Mining, Quarrying, and Oil and Gas Extraction"
212112,Bituminous Coal Underground Mining ,212,Mining (except Oil and Gas),21,"Mining, Quarrying, and Oil and Gas Extraction"
